item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
467;1140;950;850;         80.500;CARDBOARD;;8200343476R;
468;1140;950;850;         80.500;CARDBOARD;;8200343476R;
469;1140;950;850;         80.500;CARDBOARD;;8200343476R;
470;1140;950;850;         80.500;CARDBOARD;;8200343476R;
471;1140;950;850;         80.500;CARDBOARD;;8200343476R;
472;1140;950;850;         80.500;CARDBOARD;;8200343476R;
473;1140;950;850;         80.500;CARDBOARD;;8200343476R;
474;1140;950;850;         80.500;CARDBOARD;;8200343476R;
475;1140;950;850;         80.500;CARDBOARD;;8200343476R;
476;1140;950;850;         80.500;CARDBOARD;;8200343476R;
477;1140;950;850;         80.500;CARDBOARD;;8200343476R;
478;1140;950;850;         80.500;CARDBOARD;;8200343476R;
479;1140;950;850;         80.500;CARDBOARD;;8200343476R;
480;1140;950;850;         80.500;CARDBOARD;;8200343476R;
481;1140;950;850;         80.500;CARDBOARD;;8200343476R;
482;1140;950;850;         80.500;CARDBOARD;;8200343476R;
483;1140;950;850;         80.500;CARDBOARD;;8200343476R;
484;1140;950;850;         80.500;CARDBOARD;;8200343476R;
485;1140;950;850;         80.500;CARDBOARD;;8200343476R;
486;1140;950;850;         80.500;CARDBOARD;;8200343476R;
487;1140;950;850;         80.500;CARDBOARD;;8200343476R;
488;1140;950;850;         80.500;CARDBOARD;;8200343476R;
489;1140;950;640;        402.100;CARDBOARD;;8200660044R;
490;1140;950;850;         84.990;CARDBOARD;;8200672360R;
491;1140;950;850;         84.990;CARDBOARD;;8200672360R;
492;1140;950;850;         84.990;CARDBOARD;;8200672360R;
493;1140;475;640;        484.400;CARDBOARD;;8200716285R;
494;1140;475;640;        484.400;CARDBOARD;;8200716290R;
495;1140;950;850;        109.700;CARDBOARD;;8200732310R;
496;1140;950;850;        109.700;CARDBOARD;;8200732310R;
497;1140;950;850;        109.700;CARDBOARD;;8200732310R;
498;1140;950;850;        109.700;CARDBOARD;;8200732310R;
499;1140;950;850;        109.700;CARDBOARD;;8200732310R;
500;1140;950;850;        109.700;CARDBOARD;;8200732310R;
501;1140;950;850;        109.700;CARDBOARD;;8200732310R;
502;1140;950;850;        109.700;CARDBOARD;;8200732310R;
503;1140;950;850;        109.700;CARDBOARD;;8200732310R;
504;1140;950;850;        109.700;CARDBOARD;;8200732310R;
505;1140;950;640;        122.350;CARDBOARD;;8200734582R;
506;1140;950;640;        122.350;CARDBOARD;;8200734582R;
507;1140;950;640;        122.350;CARDBOARD;;8200734582R;
508;1140;950;640;        122.350;CARDBOARD;;8200734582R;
509;1140;950;640;        122.350;CARDBOARD;;8200734582R;
510;1140;950;640;        122.350;CARDBOARD;;8200734582R;
511;1140;950;640;        122.350;CARDBOARD;;8200734582R;
512;1140;950;740;        417.000;CARDBOARD;;8200810621R;
513;1140;950;740;        417.000;CARDBOARD;;8200810621R;
514;1140;950;740;        417.000;CARDBOARD;;8200810621R;
515;1140;950;740;        417.000;CARDBOARD;;8200810621R;
516;1140;950;740;        417.000;CARDBOARD;;8200810621R;
517;1140;950;740;        417.000;CARDBOARD;;8200810621R;
518;1140;950;850;        386.000;CARDBOARD;;8200846463R;
519;1140;950;640;        537.270;CARDBOARD;;8200927687R;
520;1140;950;850;        654.500;CARDBOARD;;926000097RR;
521;2280;1470;990;       1178.400;METAL;;100015425RR;
522;2280;1470;990;       1178.400;METAL;;100015425RR;
523;2280;1470;990;       1178.400;METAL;;100015425RR;
524;2280;1470;990;       1178.400;METAL;;100015425RR;
525;2280;1470;990;       1178.400;METAL;;100015425RR;
526;2280;1470;990;       1178.400;METAL;;100015425RR;
527;2280;1470;990;       1178.400;METAL;;100015425RR;
528;2280;1470;990;       1178.400;METAL;;100015425RR;
529;2280;1470;990;       1125.000;METAL;;8201254199R;
530;2280;1470;990;       1125.000;METAL;;8201254199R;
531;2280;1470;990;       1125.000;METAL;;8201254199R;
532;2280;1470;990;       1125.000;METAL;;8201254199R;
533;2280;1470;990;       1125.000;METAL;;8201254199R;
534;2280;1470;990;       1125.000;METAL;;8201254199R;
535;2280;1470;990;       1125.000;METAL;;8201254199R;
536;2280;1470;990;       1125.000;METAL;;8201254199R;
537;1740;1140;850;        111.000;CARDBOARD;;349011155RR;
538;1740;1140;850;        111.000;CARDBOARD;;349011155RR;
539;1740;1140;850;        111.000;CARDBOARD;;349011155RR;
540;1740;1140;850;        111.000;CARDBOARD;;349011155RR;
541;1740;1140;850;        111.000;CARDBOARD;;349011155RR;
542;1740;1140;850;        111.000;CARDBOARD;;349011155RR;
543;1740;1140;850;        111.000;CARDBOARD;;349011155RR;
544;1740;1140;850;        111.000;CARDBOARD;;349011155RR;
545;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
546;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
547;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
548;1450;1140;850;         66.700;CARDBOARD;;7700410280R;
549;1450;1140;850;         74.200;CARDBOARD;;7700410281R;
550;1450;1140;640;         54.120;CARDBOARD;;7700410608R;
551;1450;1140;640;         54.120;CARDBOARD;;7700410608R;
552;1450;1140;640;         54.120;CARDBOARD;;7700410608R;
553;1480;1140;860;        736.460;METAL;;7700836363R;
554;1850;1140;1250;        158.400;WOOD;;8200082359R;
555;1480;1140;860;       1374.550;METAL;;8200409389R;
556;1480;1140;860;       1374.550;METAL;;8200409389R;
557;1480;1140;860;       1374.550;METAL;;8200409389R;
558;1480;1140;860;       1374.550;METAL;;8200409389R;
559;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
560;1480;1140;860;        731.440;METAL;;8200591729R;
561;1480;1140;860;        731.440;METAL;;8200591729R;
562;1480;1140;860;        666.990;METAL;;8200708056R;
563;1480;1140;860;        666.990;METAL;;8200708056R;
564;1480;1140;860;        666.990;METAL;;8200708056R;
565;1480;1140;860;        666.990;METAL;;8200708056R;
566;1480;1140;860;        680.990;METAL;;8200708057R;
567;1480;1140;860;        680.990;METAL;;8200708057R;
568;1480;1140;860;        680.990;METAL;;8200708057R;
569;1480;1140;860;        680.990;METAL;;8200708057R;
570;1480;1140;860;        641.520;METAL;;8200708059R;
571;1480;1140;860;        641.520;METAL;;8200708059R;
572;1480;1140;860;        806.320;METAL;;8200708061R;
573;1480;1140;860;        806.320;METAL;;8200708061R;
574;1480;1140;860;        806.320;METAL;;8200708061R;
575;1480;1140;860;        806.320;METAL;;8200708061R;
576;1450;1140;850;        175.000;CARDBOARD;;8200760429R;
577;1450;1140;850;        175.000;CARDBOARD;;8200760429R;
578;1480;1140;860;        706.080;METAL;;8200803730R;
579;1140;950;640;        256.370;CARDBOARD;;200600032RR;
580;1140;950;640;         91.300;CARDBOARD;;306107623RR;
581;1140;950;850;        789.140;CARDBOARD;;402020009RR;
582;1140;950;850;        173.780;CARDBOARD;;472105674RR;
583;1140;950;850;        173.780;CARDBOARD;;472105674RR;
584;1140;950;850;        602.420;CARDBOARD;;544032307RR;
585;1140;950;850;        158.340;CARDBOARD;;769230024RR;
586;1140;950;850;        158.340;CARDBOARD;;769246051RR;
587;1140;950;850;         52.210;CARDBOARD;;7700435039R;
588;1140;950;850;         52.210;CARDBOARD;;7700435039R;
589;1140;950;850;         52.210;CARDBOARD;;7700435039R;
590;1140;950;850;         52.210;CARDBOARD;;7700435039R;
591;1140;950;850;         52.210;CARDBOARD;;7700435039R;
592;1140;950;850;         52.210;CARDBOARD;;7700435039R;
593;1200;1000;1050;        156.900;WOOD;;7700831456R;
594;1140;950;640;        247.750;CARDBOARD;;7701674026R;
595;1140;950;640;        272.820;CARDBOARD;;7701674027R;
596;1140;950;850;         95.000;CARDBOARD;;7701695154R;
597;1140;950;850;         95.000;CARDBOARD;;7701695154R;
598;1200;1000;750;        390.600;WOOD;;804305879RR;
599;1200;1000;750;        390.600;WOOD;;804305879RR;
600;1200;1000;750;        390.600;WOOD;;804305879RR;
601;1200;1000;1050;        195.060;WOOD;;806079580RR;
602;1140;950;850;        157.080;CARDBOARD;;808321867RR;
603;1140;950;850;        157.080;CARDBOARD;;808321867RR;
604;1140;950;850;        310.100;CARDBOARD;;8200061468R;
605;1140;950;640;         29.330;CARDBOARD;;8200071119R;
606;1200;1000;1050;         89.840;WOOD;;8200098752R;
607;1200;1000;1050;         89.840;WOOD;;8200098752R;
608;1200;1000;1050;         89.840;WOOD;;8200098753R;
609;1140;950;850;         80.500;CARDBOARD;;8200343476R;
610;1140;950;850;         80.500;CARDBOARD;;8200343476R;
611;1140;950;850;         80.500;CARDBOARD;;8200343476R;
612;1140;950;850;         80.500;CARDBOARD;;8200343476R;
613;1140;950;850;         80.500;CARDBOARD;;8200343476R;
614;1140;950;850;         80.500;CARDBOARD;;8200343476R;
615;1140;950;850;         80.500;CARDBOARD;;8200343476R;
616;1140;950;850;         80.500;CARDBOARD;;8200343476R;
617;1140;950;850;         80.500;CARDBOARD;;8200343476R;
618;1140;950;640;        402.100;CARDBOARD;;8200660044R;
619;1140;950;640;        402.100;CARDBOARD;;8200660044R;
620;1140;950;850;         71.300;CARDBOARD;;8200686355R;
621;1140;950;850;         71.300;CARDBOARD;;8200686355R;
622;1140;950;850;        109.700;CARDBOARD;;8200732310R;
623;1140;950;850;        109.700;CARDBOARD;;8200732310R;
624;1140;950;850;        109.700;CARDBOARD;;8200732310R;
625;1140;950;850;        109.700;CARDBOARD;;8200732310R;
626;1140;950;640;        122.350;CARDBOARD;;8200734582R;
627;1140;950;640;        122.350;CARDBOARD;;8200734582R;
628;1140;950;640;        122.350;CARDBOARD;;8200734582R;
629;1140;950;640;        122.350;CARDBOARD;;8200734582R;
630;1140;950;740;        417.000;CARDBOARD;;8200810621R;
631;1140;950;740;        417.000;CARDBOARD;;8200810621R;
632;1140;950;740;        417.000;CARDBOARD;;8200810621R;
633;1140;950;740;        417.000;CARDBOARD;;8200810621R;
634;1140;950;740;        417.000;CARDBOARD;;8200810621R;
635;1140;950;740;        417.000;CARDBOARD;;8200810621R;
636;1140;950;740;        417.000;CARDBOARD;;8200810621R;
637;1140;950;740;        417.000;CARDBOARD;;8200810621R;
638;1140;950;640;        537.270;CARDBOARD;;8200927687R;
639;1200;1000;870;        673.000;CARDBOARD;;8201018716R;
640;1200;1000;870;        673.000;CARDBOARD;;8201018716R;
641;1200;1000;870;        673.000;CARDBOARD;;8201018716R;
642;1200;1000;545;         97.400;CARDBOARD;;8201068828R;
643;1140;950;850;        164.660;CARDBOARD;;908300023RR;
644;1140;950;850;        654.500;CARDBOARD;;926000097RR;
645;1140;950;850;        654.500;CARDBOARD;;926000097RR;
646;1140;950;850;        654.500;CARDBOARD;;926000097RR;
647;1140;950;850;        654.500;CARDBOARD;;926000097RR;
